Unnamed: 0,ID,Date,Date Known,Longitude,Latitude,Number Avalanches Seen,Above Treeline,Aspect,Avalanche Type,Trigger Type,sizeR,sizeD,Area,Extra Location Details,Description,Extra Comments,treeline_loc,avy_type,x,y
0,2955d281-07b0-4fc1-ab4c-9e8d9cdbb169,2025-03-30, Known,-105.8925128,40.5208158, 1,>TL, NE,SS, N, R2, D2, Front Range, Mt. Braddock - Location: 40.18200 -105.91475 | 11644 ft | 2:25 PM (observed) ,   , -,Above Treeline,Soft Slab,-43694.32502584268,4914149.082930123
1,c1ec4d71-3ac2-4937-8674-1713d7d596c4,2025-03-30, Known,-105.7898892,39.8041827, 1,>TL, N,SS, AS, R1, D1, Front Range, -, -, -,Above Treeline,Soft Slab,-32270.318130470496,4810168.685484597
2,27c5041f-e73c-4064-9dde-90b11fdd021b,2025-03-30, Estimated,-105.8211728,39.6442214, 1,>TL, N,SS, AS, R1, D1, Front Range, -, -, -,Above Treeline,Soft Slab,-35752.79255265037,4787108.706947869
5,fcc2a614-e4f6-4b0c-9d67-fedc14f7ae99,2025-03-30, Estimated,-105.7274507,39.8402827, 1,All, NE,SS, N, R2, D1.5, Front Range, -, -, -,Across Zones,Soft Slab,-25319.696104573864,4815380.323775218
6,dddbaa7b-2235-4567-9d62-87f2a6f29551,2025-03-30, Estimated,-106.3802589,38.8697456, 1,>TL, E,U, U, U, U, Sawatch, Cottonwood pass, -, -,Above Treeline,Unreported,-97989.97251424764,4676212.288366839
7,-,2025-03-30, Known,-107.051537,38.98374, 1,>TL, SE,SS, AS, R1, D1, Gunnison, -, -, Skier-triggered Wind Slab about 8 inches deep (the new snow since Friday).,Above Treeline,Soft Slab,-172716.30878692344,4692457.876525056
8,2e2a043d-bf7d-4fa5-8deb-5e3b4fa71093,2025-03-29, Known,-106.5617408,38.8190131, 1,<TL, N,WS, N, R2, D2, Gunnison, Mile marker 10.2, Dozens of small wet avalanches ran in places with a very shallow snowpack. These all ran on north to east-facing terrain below treeline in very steep rocky terrain., -,Below Treeline,Wet Slab,-118192.44521044185,4668990.7376223225
9,03ce5234-a60f-4e6b-8d31-f9307604a066,2025-03-29, Known,-106.812513,39.005366, 1,TL, E,WL, N, R2, D2, Aspen, Greg Mace Peak, What appears to be a large loose wet avalanche observed from a party touring near the Lindley Hut, -,At Treeline,Wet Loose,-146108.27881955134,4695542.818310966
10,54665f74-09b5-4e21-b3ce-952bbfcc033f,2025-03-29, Known,-105.8608943,39.7178455, 1,>TL, SW,SS, AS, R1, D1, Front Range, -, -, -,Above Treeline,Soft Slab,-40174.56970619432,4797715.640914068
11,e7a57e0b-25c0-480b-be7c-7705b81abae3,2025-03-29, Known,-105.8222585,39.7253887, 1,>TL, N,SS, AS, R1, D1, Front Range, -, -, -,Above Treeline,Soft Slab,-35873.65212380467,4798803.024692906
12,c4348854-4def-4189-89f6-336054650d41,2025-03-29, Known,-105.668747,40.309934, 2,>TL, SE,WL, N, R1, D1, Front Range, -, -, -,Above Treeline,Wet Loose,-18784.83011289217,4883435.887154708
13,85cd9bc2-e8d4-4de8-b7b6-941a00d74c60,2025-03-29, Known,-105.9011928,40.5139656, 1,TL, NE,WL, AS, R1, D1, Front Range, The Wave, -, -,At Treeline,Wet Loose,-44660.57820592787,4913149.880847537
14,50cce72f-3215-4fc0-b98f-b1335e885058,2025-03-29, Estimated,-106.1338482,40.3345474, 3,TL, NE,WL, N, R1, D1, Steamboat & Flat Tops, -, I saw recent very small loose-wet avalanches on a NE facing slope NTL in the distance, -,At Treeline,Wet Loose,-70559.65886423376,4887015.6322320765
15,6353f08e-96fb-4fed-ac71-528ed7d377c7,2025-03-29, Known,-105.8893039,39.6700376, 1,>TL, E,SS, AS, R1, D1, Front Range, -, I triggered one small Wind Slab avalanche. Notable was the lack of avalanche activity around Loveland Pass. There were some small loose snow avalanches out of the steepest and rockiest terrain. I thought I may see some rollerballs out of low-elevation northerly terrain towards the bottom of the pass but I did not., -,Above Treeline,Soft Slab,-43337.11191183542,4790826.717898004
